NUMERO_REGISTRAZIONE,FORMULATO COMMERCIALE,PRODUTTORE,SOSTANZE_ATTIVE,SOSTANZA ATTIVA_PER_100G_DI_PRODOTTO
4025,CAPTACOR,SOLPLANT S.P.A.,ANTRACHINONE|CAPTAN,-
4026,ZILAN EXTRA,BASF AGRO S.P.A.,ZIRAM,-
4027,THIOFRUTT KOLLOIDALE,BASF AGRO S.P.A.,SULPHUR (ZOLFO),80.0 g
4028,BLUTOX MICRONIZZATO,CAFFARO S.P.A.,ZINEB,65.0 g
4029,CRITTEB P5,SIAPA S.R.L.,MANEB,5.0 g
4030,PROPILAN,BASF AGRO S.P.A.,PROPINEB,70.0 g
4031,BELLAVIT,BASF AGRO S.P.A.,MANCOZEB|COPPER OXYCHLORIDE|COPPER SULFATE,14.0 g|10.0 g|3.0 g
4032,BELLAVIT BLAU,BASF AGRO S.P.A.,MANCOZEB|COPPER OXYCHLORIDE|COPPER SULFATE,14.0 g|10.0 g|3.0 g
4033,ATREX,BASF AGRO S.P.A.,ZINEB|ZIRAM,32.0 g|45.0 g
4034,ZILAN,BASF AGRO S.P.A.,ZIRAM,-
4035,CRITTAM 500,EASTMAN ITALIA S.R.L.,ZIRAM,44.0 g
4036,CRITTEB 80,SIAPA S.R.L.,MANEB,80.0 g
4037,FENILAN CAFFARO,SUMITOMO CHEMICAL ITALIA S.R.L.,DICOFOL|TETRADIFON,16.0 g|5.0 g
4038,TIOTOX 50,SYNGENTA ITALIA S.P.A.,THIRAM,50.0 g
4039,ZIREX 90,AVENTIS CROPSCIENCE ITALIA S.P.A.,ZIRAM,-
4040,ANTENE,ISAGRO S.P.A.,ZIRAM,-
4041,FERNASAN (TIPO 30),SOLPLANT S.P.A.,THIRAM,-
4042,ZIREX,AVENTIS CROPSCIENCE ITALIA S.P.A.,ZIRAM,80.0 g
4043,BETOZON L,SIPCAM S.P.A.,CHLORIDAZON (AKA PYRAZONE),35.0 g
4044,ADAM 18 P,DOW AGROSCIENCES ITALIA S.R.L.,ZIRAM,-
4045,ANTIRUGGINE B.P.D.,AVENTIS CROPSCIENCE ITALIA S.P.A.,COPPER OXYCHLORIDE|ZINEB|SULPHUR (ZOLFO),2.0 g|46.0 g|30.0 g
4046,THIRSOL,SCAM S.P.A.,THIRAM,49.0 g
4047,BAYLETON,BAYER CROPSCIENCE S.R.L.,TRIADIMEFON,10.0 g
4048,MIXIDAN  COMBI PB,BAYER CROPSCIENCE S.R.L.,TRIADIMEFON|SULPHUR (ZOLFO),3.0 g|50.0 g
4049,MAN 50,GUABER S.P.A.,MANEB,50.0 g
4050,BAYLETON WG,BAYER CROPSCIENCE S.R.L.,TRIADIMEFON,5.0 g
4051,BAYLETON PB,BAYER CROPSCIENCE S.R.L.,TRIADIMEFON,5.0 g
4052,FUNGI TH,SIVAM S.P.A.,THIRAM,47.5 g
4053,FUNGICOMBI,SIVAM S.P.A.,THIRAM|ZIRAM,36.0 g|22.0 g
4054,KELTHANE MF,DOW AGROSCIENCES ITALIA S.R.L.,DICOFOL,44.4 g
4055,GHER ROHM AND HAAS,ROHM AND HAAS ITALIA S.R.L.,PROPYZAMIDE|SIMAZINE,30.0 g|25.0 g
4056,ETIFOS M,DU PONT DE NEMOURS ITALIANA S.R.L.,CHLORPYRIFOS-METHYL,22.1 g
4057,ZINEZIR,CAFFARO S.P.A.,ZINEB|ZIRAM,38.0 g|38.0 g
4058,MARISAN TM,SIAPA S.R.L.,THIRAM,49.0 g
4059,SALVAPLANT,SIAPA S.R.L.,THIRAM,44.0 g
4060,SELENE B/A,SCAM S.P.A.,ZINEB,65.0 g
4061,CRITTOX BLEU MICRONIZZATO,CAFFARO S.P.A.,ZINEB,76.0 g
4062,KAURITIL,BASF A.G. (AKTIENGESELLSHAFT),COPPER OXYCHLORIDE,47.0 g
4063,FOLCARB WG,SIAPA S.R.L.,FOLPET,72.0 g
4064,VITENE S BLU,SIPCAM S.P.A.,ZINEB|ZIRAM,39.0 g|29.0 g
4065,SIALITE,SIAPA S.R.L.,DINOCAP,18.3 g
4066,FOLPET RM BLU BAYER,BAYER CROPSCIENCE S.R.L.,FOLPET|COPPER HYDROXIDE,-
4067,MANATANE,DOW AGROSCIENCES ITALIA S.R.L.,MANCOZEB,-
4068,FITOZIR PASTA 45,GOWAN ITALIA S.R.L.,ZIRAM,45.0 g
4069,SUTAR 85 E,SOLPLANT S.P.A.,BUTYLATE,-
4070,SUTAN 78 E,SYNGENTA ITALIA S.P.A.,BUTYLATE,78.0 g
4071,FITOZIR 90,GOWAN ITALIA S.R.L.,ZIRAM,86.0 g
4072,ZIRCAM PASTA 27,SCAM S.P.A.,ZIRAM,27.0 g
4073,BI-ZETA 40,AGRICA S.R.L.,ZINEB|ZIRAM,-
4074,CUPROSAN 20M,DU PONT DE NEMOURS ITALIANA S.R.L.,COPPER OXYCHLORIDE|ZINEB,-
4075,AMBUSH,SYNGENTA ITALIA S.P.A.,PERMETHRIN,26.0 g
4076,RELDAN,AVENTIS CROPSCIENCE ITALIA S.P.A.,CHLORPYRIFOS-METHYL,22.0 g
4077,UTAZIRAMIT CAFFARO,CAFFARO S.P.A.,ZIRAM,16.0 g
4078,NICOTEB P,SIPCAM S.P.A.,MANEB,6.0 g
4079,ZIRAMIT,CAFFARO S.P.A.,ZIRAM,76.0 g
4080,REMILATE BIANCO,SYNGENTA ITALIA S.P.A.,CYMOXANIL|BORDEAUX MIXTURE|COPPER OXYCHLORIDE,3.5 g|7.0 g|23.0 g
4081,REMILATE,SYNGENTA ITALIA S.P.A.,CYMOXANIL|COPPER OXYCHLORIDE|COPPER SULFATE,4.0 g|23.0 g|7.0 g
4082,KALIRAM P BIANCO,SYNGENTA ITALIA S.P.A.,CYMOXANIL|COPPER OXYCHLORIDE,4.0 g|32.0 g
4083,ANITEN RISO,BASF AGRO S.P.A.,FLURENOL|MCPA|PROPANIL,6.0 g|17.0 g|19.0 g
4084,MICROSOL,DOW AGROSCIENCES ITALIA S.R.L.,ZIRAM|SULPHUR (ZOLFO),-
4085,ZIRTHANE 75 WP,ROHM AND HAAS ITALIA S.R.L.,ZIRAM,-
4086,ANITEN D,SHELL ITALIA S.P.A.,"FLURENOL|2,4-D",-
4087,FUNGIMAN 88,SIVAM S.P.A.,MANEB,80.0 g
4088,MICOSIN F 30,DIACHEM S.P.A.,ZIRAM,28.5 g
4089,TMTD 50 BORCHERS,DIACHEM S.P.A.,THIRAM,47.5 g
4090,MALERBANE CEREALI,DIACHEM S.P.A.,"2,4-D",54.2 g
4091,TETRAFLOR,CHIMIBERG S.R.L.,THIRAM,-
4092,TRISCABOL PB,UPL  ITALIA S.R.L.,ZIRAM,80.0 g
4093,A-150,DU PONT DE NEMOURS ITALIANA S.R.L.,ZINEB,65.0 g
4094,MAN 80,ZAPI INDUSTRIE CHIMICHE S.P.A.,MANEB,74.0 g
4095,SELENE,SCAM S.P.A.,ZINEB,65.0 g
4096,DUE ZETA,CAFFARO S.P.A.,ZINEB|SULPHUR (ZOLFO),7.0 g|60.0 g
4097,SILGAMMA,SILIA S.P.A.,LINDANE (LINDANO),-
4098,UVOTEX,BASF AGRO S.P.A.,ZINEB|SULPHUR (ZOLFO),-
4099,SELEZIR PB,SCAM S.P.A.,ZIRAM,65.0 g
4100,BI-ZETA 10,ZAPI INDUSTRIE CHIMICHE S.P.A.,ZINEB|ZIRAM,10.0 g|10.0 g
4101,AESSE L,SIPCAM S.P.A.,CARBARIL,47.5 g
4102,MANEB 80,AVENTIS CROPSCIENCE ITALIA S.P.A.,MANEB,80.0 g
4103,"GEOSIN 4,5 G",SOLPLANT S.P.A.,DIAZINON,-
4104,PAREDAN,SCAM S.P.A.,ENDOSULFAN|PARATHION,-
4105,GEOSIN 9 G,SOLPLANT S.P.A.,DIAZINON,-
4106,DITHANE Z-70,ROHM AND HAAS ITALIA S.R.L.,ZINEB,-
4107,ZINEB 80,ROHM AND HAAS ITALIA S.R.L.,ZINEB,-
4108,ZIRTHANE WP,ROHM AND HAAS ITALIA S.R.L.,ZIRAM,-
4109,ZIRTHANE 90 WP,ROHM AND HAAS ITALIA S.R.L.,ZIRAM,90.0 g
4110,MYCOTOX,PASQUALE MORMINO & FIGLIO S.R.L.,COPPER OXYCHLORIDE|ZINEB|SULPHUR (ZOLFO),2.0 g|2.0 g|30.0 g
4111,DITHANE BLEU,ROHM AND HAAS ITALIA S.R.L.,ZINEB,65.0 g
4112,VITAM AZZURRO,GOWAN ITALIA S.R.L.,ZINEB,65.0 g
4113,VITAM M,GOWAN ITALIA S.R.L.,MANEB,80.0 g
4114,CARBAMON 65,DU PONT DE NEMOURS ITALIANA S.R.L.,ZINEB,-
4115,MANEB P 8,ISAGRO S.P.A.,MANEB,-
4116,TMTD 50,SIAPA S.R.L.,THIRAM,49.0 g
4117,BRUTIARYL F,BRUTIACHIM S.P.A.,CARBARIL,47.0 g
4118,FITOZIR,GOWAN ITALIA S.R.L.,ZIRAM,76.0 g
4119,FUNGIZIR 80,SIVAM S.P.A.,ZIRAM,-
4120,OFTANOL M P.B.,BAYER CROPSCIENCE S.R.L.,CHINOMETHIONATE|ISOFENPHOS,-
4121,CLORTOSIP R,SIPCAM S.P.A.,CHLOROTHALONIL|COPPER OXYCHLORIDE,15.0 g|30.0 g
4122,ZIRAM BLEU,ROHM AND HAAS ITALIA S.R.L.,ZIRAM,-
4123,REMILTINE,SYNGENTA ITALIA S.P.A.,CYMOXANIL|MANCOZEB,4.0 g|47.0 g
4124,TRI-MILTOX P BIANCO,SYNGENTA ITALIA S.P.A.,CYMOXANIL|MANCOZEB|COPPER OXYCHLORIDE|COPPER SULFATE,3.5 g|12.0 g|10.0 g|3.0 g
4125,DITHANE M-22,DOW AGROSCIENCES ITALIA S.R.L.,MANEB,80.0 g
4126,TOTAZINA,CHIMIBERG S.R.L.,SIMAZINE,44.0 g
4127,ZIRTHANE BLEU,ROHM AND HAAS ITALIA S.R.L.,ZIRAM,80.0 g
4128,ZINCOSOL,DOW AGROSCIENCES ITALIA S.R.L.,ZINEB|SULPHUR (ZOLFO),-
4129,TETRASAN,CHIMIBERG S.R.L.,THIRAM,8.0 g
4130,URONEB,AZIENDE AGRARIE TRENTO FITOFARMACI,NEBURON,-
4131,MALERTOX T.C.NA,SIVAM S.P.A.,TCA,95.0 g
4132,OFUNACK L,SIPCAM S.P.A.,PYRIDAFENTHION,40.0 g
4133,DRUPAX,GUABER S.P.A.,ZIRAM,71.0 g
4134,VITAM SARIAF,GOWAN ITALIA S.R.L.,ZINEB,80.0 g
4135,MANEB P8,AVENTIS CROPSCIENCE ITALIA S.P.A.,MANEB,6.0 g
4136,DITHEX POLVERE P 25,AVENTIS CROPSCIENCE ITALIA S.P.A.,ZINEB,-
4137,DELFITHEX RAMATO,AVENTIS CROPSCIENCE ITALIA S.P.A.,COPPER CARBONATE BASIC|ZINEB,-
4138,DELFITHEX,AVENTIS CROPSCIENCE ITALIA S.P.A.,ZINEB,-
4139,VINYPHOS,AVENTIS CROPSCIENCE ITALIA S.P.A.,MEVINPHOS,-
4140,ANTRACOL+BAYLETON,BAYER CROPSCIENCE S.R.L.,PROPINEB|TRIADIMEFON,-
4141,ANTRACOL BLU+BAYLETON,BAYER CROPSCIENCE S.R.L.,PROPINEB|TRIADIMEFON,-
4142,ANTRACOL RAMATO IR+BAYLETON,BAYER CROPSCIENCE S.R.L.,PROPINEB|COPPER HYDROXIDE|TRIADIMEFON,-
4143,ANTRACOL RAMATO+BAYLETON,BAYER CROPSCIENCE S.R.L.,PROPINEB|COPPER OXYCHLORIDE|TRIADIMEFON,-
4144,ANTRACOL RAMATO IR BLU+BAYLETON,BAYER CROPSCIENCE S.R.L.,PROPINEB|COPPER HYDROXIDE|TRIADIMEFON,-
4145,ANTRACOL RAMATO BLU+BAYLETON,BAYER CROPSCIENCE S.R.L.,PROPINEB|COPPER OXYCHLORIDE|TRIADIMEFON,-
4146,CUVROL,SOLPLANT S.P.A.,COPPER OXYCHLORIDE|PARAFFIN OIL/(CAS 8012-95-1),-
4147,APITIUM,CAFFARO S.P.A.,CAPTAN|ETRIDIAZOLE,-
4148,UTAZIRAMIT S CAFFARO,CAFFARO S.P.A.,ZIRAM|SULPHUR (ZOLFO),-
4149,MISOL,GUABER S.R.L.,SULPHUR (ZOLFO),60.0 g
4150,CRITTAM 80,SIAPA S.R.L.,ZIRAM,76.0 g
4151,TERSANIL COMPRESSE,DU PONT DE NEMOURS ITALIANA S.R.L.,8-HYDROXYQUINOLINE INCL. OXYQUINOLEINE,-
4152,BANVEL P,SYNGENTA ITALIA S.P.A.,MECOPROP|DICAMBA,42.0 g|3.0 g
4153,TANAZONE,ISAGRO S.P.A.,ZINEB|ZIRAM,-
4154,ACARKIL 16-15,SOLPLANT S.P.A.,CHLORFENSON|DICOFOL,15.0 g|16.0 g
4155,ZINEBLU,ISAGRO S.P.A.,ZINEB,53.0 g
4156,DIASOL G,CAFFARO S.P.A.,MONOCROTOPHOS,-
4157,IROL PLUS,SUMITOMO CHEMICAL ITALIA S.R.L.,SORBITAN MONOLEATO,12.0 g
4158,TRIFLURALIN CAFFARO,SUMITOMO CHEMICAL ITALIA S.R.L.,TRIFLURALIN,42.0 g
4159,CURIT S,AVENTIS CROPSCIENCE ITALIA S.P.A.,ZINEB,-
4160,CURIT SCHERING,AVENTIS CROPSCIENCE ITALIA S.P.A.,ZINEB,65.0 g
4161,AZURAM,DU PONT DE NEMOURS ITALIANA S.R.L.,COPPER OXYCHLORIDE,40.0 g
4162,TRISAN,BASF AGRO S.P.A.,ZINEB,-
4163,BARAM 50,MIRE S.R.L.,COPPER OXYCHLORIDE,-
4164,OFUNACK P3,SIPCAM S.P.A.,PYRIDAFENTHION,3.0 g
4165,DITHIOVIT,SYNGENTA ITALIA S.P.A.,MANCOZEB|SULPHUR (ZOLFO),-
4166,CURIT AZZURRO,AVENTIS CROPSCIENCE ITALIA S.P.A.,ZINEB,-
4167,SCLEROSAN 10,SICIL IMPORT-EXPORT S.R.L.,THIRAM,10.0 g
4168,FUNGISAN L,TECNITERRA S.R.L.,ZIRAM,27.0 g
4169,VITENE BIANCO,SIPCAM S.P.A.,ZINEB|ZIRAM,57.0 g|29.0 g
4170,DITHANE Z-78,ROHM AND HAAS ITALIA S.R.L.,ZINEB,-
4171,ZIRTHANE 80 WP,ROHM AND HAAS ITALIA S.R.L.,ZIRAM,80.0 g
4172,CURIT S AZZURRO,AVENTIS CROPSCIENCE ITALIA S.P.A.,ZINEB,-
4173,VITENE M BLU,SIPCAM S.P.A.,MANEB|ZINEB,40.0 g|10.0 g
4174,UTAMANEBINA CAFFARO,CAFFARO S.P.A.,MANEB,6.0 g
4175,UTAZINEB S CAFFARO,CAFFARO S.P.A.,ZINEB|SULPHUR (ZOLFO),-
4176,UTAZIN S 20 CAFFARO,CAFFARO S.P.A.,ZINEB|SULPHUR (ZOLFO),-
4177,ATTIVAR FLOW,SIPCAM S.P.A.,ZIRAM,48.0 g
4178,FERVIN,AVENTIS CROPSCIENCE ITALIA S.P.A.,ALLOXYDIM,75.0 g
4179,GRASIPAN,SIPCAM S.P.A.,ALLOXYDIM,75.0 g
4180,TETRAM OM CAFFARO,CAFFARO S.P.A.,DICOFOL,-
4181,FRUTTENE 90 TIPO EXPORT,SIPCAM S.P.A.,ZIRAM,85.5 g
4182,SCLEROSAN  50,SCAM S.P.A.,THIRAM,49.0 g
4183,MICROPOLVERE CZS,GOWAN ITALIA S.R.L.,COPPER OXYCHLORIDE|ZINEB|SULPHUR (ZOLFO),7.0 g|4.0 g|30.0 g
4184,TRISAN 80,BASF AGRO S.P.A.,ZINEB,-
4185,ZIMANEB 5,CIFO S.R.L.,MANEB|ZINEB,5.0 g|1.0 g
4186,ZIMANEB 60,GUABER S.P.A.,MANEB|ZINEB,55.0 g|5.0 g
4187,SELEVIT PS,EUROZOLFI S.R.L.,ZINEB|SULPHUR (ZOLFO),8.0 g|30.0 g
4188,POMAVIT,ZAPI INDUSTRIE CHIMICHE S.P.A.,ZINEB|SULPHUR (ZOLFO),32.0 g|20.0 g
4189,SELEVIT B,EUROZOLFI S.R.L.,ZINEB|SULPHUR (ZOLFO),32.0 g|20.0 g
4190,TETRASOL 80,EASTMAN ITALIA S.R.L.,THIRAM,80.0 g
4191,LIQUINUR,DOW AGROSCIENCES ITALIA S.R.L.,"DICLOROETHANE-1,1|CARBON TETRACHLORIDE",-
4192,TRISAN BLEU,BASF AGRO S.P.A.,ZINEB,-
4193,SEGOR EC,SEPRAN S.A.S.,DIMETHOATE,38.0 g
4194,DEFENSE,SCAM S.P.A.,CHLORFENSON,-
4195,DISOLFO,S.A.R.I.A.F. S.P.A.,ZINEB|SULPHUR (ZOLFO),-
4196,TIEZENE P 20,ISAGRO S.P.A.,ZINEB,-
4197,PROLIN,BASLINI S.P.A.,ZIRAM,76.0 g
4198,COPRANTOL S,SYNGENTA ITALIA S.P.A.,COPPER OXYCHLORIDE,50.0 g
4199,PENNCOZEB DG,UPL EUROPE LTD,MANCOZEB,75.0 g
4200,DIAZITANCINQUE,GUABER S.P.A.,DIAZINON,5.0 g
4201,OFUNACK PB,SIPCAM S.P.A.,PYRIDAFENTHION,48.0 g
4202,MONOCIDE,DOW AGROSCIENCES ITALIA S.R.L.,CHLORBENSIDE,-
4203,CUPRENE 50 MICRONIZZATO,SIPCAM S.P.A.,COPPER OXYCHLORIDE,50.0 g
4204,DIASOL 10 GRANULARE,SIVAM S.P.A.,DIAZINON,10.0 g
4205,ZETARAM L,SIPCAM S.P.A.,COPPER OXYCHLORIDE,26.0 g
4206,ETIL-MANGAN,DOW AGROSCIENCES ITALIA S.R.L.,MANEB,-
4207,GRAMICID,DOW AGROSCIENCES ITALIA S.R.L.,ALACLOR,42.0 g
4208,RAME OSSICLORURO 50% CU MICRONIZZATO,PASQUALE MORMINO & FIGLIO S.R.L.,COPPER OXYCHLORIDE,-
4209,CLIX G8,CHEMIA S.P.A.,CHLORTHIAMID,7.0 g
4210,TIOZIR,S.A.R.I.A.F. S.P.A.,ZIRAM|SULPHUR (ZOLFO),-
4211,SEMER,CHEMIA S.P.A.,DESMETRYN,24.0 g
4212,THIO-STI,STI SOLFOTECNICA ITALIANA S.P.A.,SULPHUR (ZOLFO),46.0 g
4213,RAME BLU 5O,SYNGENTA ITALIA S.P.A.,COPPER OXYCHLORIDE,50.0 g
4214,AVIOCAFFARO,ISAGRO S.P.A.,COPPER OXYCHLORIDE|PETROLEUM OILS/(CAS 92062-35-6),17.0 g|60.0 g
4215,NIFAM 50,ISAGRO S.P.A.,THIRAM,48.0 g
4216,SUMICIDIN,BASF AGRO S.P.A.,FENVALERATE,11.0 g
4217,FUCLASIN SCHERING,AVENTIS CROPSCIENCE ITALIA S.P.A.,ZIRAM,87.0 g
4218,VITAM,GOWAN ITALIA S.R.L.,ZINEB,65.0 g
4219,CYANAMID DIMETOATO 20,BASF AGRO S.P.A.,DIMETHOATE,19.0 g
4220,BROMO SAR,S.A.R.I.A.F. S.P.A.,BROMURO DI METILE,-
4221,BRANDOL 25 L,S.A.R.I.A.F. S.P.A.,BRANDOL,25.0 g
4222,BRANDOL 20 PB,S.A.R.I.A.F. S.P.A.,BRANDOL,20.0 g
4223,MICROPOLVERE TIOZIN,S.A.R.I.A.F. S.P.A.,ZINEB|SULPHUR (ZOLFO),-
4224,FULVIN ATTIVATO T.M.T.D.,EUROZOLFI S.R.L.,THIRAM|SULPHUR (ZOLFO),5.0 g|30.0 g
4225,MANEB 80 SIPCAM,SIPCAM S.P.A.,MANEB,80.0 g
4226,SELEVIT C,AGRICA S.R.L.,ZINEB|SULPHUR (ZOLFO),-
4227,FUNVIN ATTIVATO ZIRAM,EUROZOLFI S.R.L.,ZIRAM|SULPHUR (ZOLFO),6.0 g|25.0 g
4228,ROGOR 400 ST,CHEMINOVA A/S,DIMETHOATE,37.7 g
4229,VITAVAX T,CHEMTURA ITALY S.R.L.,CARBOXIN|THIRAM,19.0 g|39.0 g
4230,SCLEROSAN 5,CIFO S.R.L.,THIRAM,1.0 g
4231,RISAGRO V,ITAL-AGRO S.R.L.,ENDOSULFAN,0.9 g
4232,GEOSIN 25 WP,SOLPLANT S.P.A.,DIAZINON,-
4233,AFIDON,CHEMIA S.P.A.,ENDOSULFAN|DIMETHOATE,20.0 g|20.0 g
4234,ACARSAN PB,SIVAM S.P.A.,CYHEXATIN,25.0 g
4235,RAMOLIO,CHEMIA S.P.A.,COPPER OXYCHLORIDE|PARAFFIN OIL/(CAS 8012-95-1),17.0 g|65.0 g
4236,METABROM 100,PM CHEMICALS S.R.L.,BROMURO DI METILE,99.5 g
4237,GEOSIN 25 EC,SOLPLANT S.P.A.,DIAZINON,-
4238,BADIN 20,BASLINI S.P.A.,DIMETHOATE,-
4239,ESSITOX AS,TECNITERRA S.R.L.,ATRAZINE|SIMAZINE,-
4240,MALERTOX MAIS A FLUID,SIVAM S.P.A.,ATRAZINE,-
4241,SIPLEN L,SIPCAM S.P.A.,LINURON|TRIFLURALIN,11.0 g|22.0 g
4242,MANGAN CURIT 80,AVENTIS CROPSCIENCE ITALIA S.P.A.,MANEB,-
4243,VIRICUIVRE MICRONISE,BAYER CROPSCIENCE S.R.L.,COPPER OXYCHLORIDE,84.0 g
4244,FOSFET 20,SIVAM S.P.A.,PARATHION,19.0 g
4245,PASTA RUMIANCA,ISAGRO S.P.A.,COPPER OXYCHLORIDE,-
4246,DITHANE Z-78,AVENTIS CROPSCIENCE ITALIA S.P.A.,ZINEB,-
4247,FRUISAN,ISAGRO S.P.A.,COPPER OXYCHLORIDE,-
4248,CUPRAMON,DU PONT DE NEMOURS ITALIANA S.R.L.,COPPER OXYCHLORIDE,50.0 g
4249,BENFRUT B,AVENTIS CROPSCIENCE ITALIA S.P.A.,BENOMYL|DODINE,-
4250,ORTIGRAN,SCAM S.P.A.,TRIFLURALIN,45.0 g
4251,STOMP CORN,BASF AGRO S.P.A.,ATRAZINE|PENDIMETHALIN,-
4252,ROVEG,ROHM AND HAAS ITALIA S.R.L.,LINURON|NITROFEN,-
4253,DIACIT E 25,SIVAM S.P.A.,DIAZINON,23.8 g
4254,CUPROSSIL,SCAM S.P.A.,COPPER OXYCHLORIDE,50.0 g
4255,ESASAR,S.A.R.I.A.F. S.P.A.,THIRAM|SULPHUR (ZOLFO),-
4256,TRICIL 12,ALGHEMAR S.R.L.,CYHEXATIN,-
4257,DCA 50,S.A.R.I.A.F. S.P.A.,DNOC,50.0 g
4258,MANSAN,BASF AGRO S.P.A.,MANEB,64.0 g
4259,PENTASOL N.F.,DOW AGROSCIENCES ITALIA S.R.L.,DICOFOL|TETRADIFON,16.0 g|6.0 g
4260,TIEZENE H,ISAGRO S.P.A.,MANEB,-
4261,MANEBINA CAFFARO,CAFFARO S.P.A.,MANEB,-
4262,PARAQUAT CIBA-GEIGY,SYNGENTA ITALIA S.P.A.,PARAQUAT,18.0 g
4263,MERPELAN IS,BAYER CROPSCIENCE S.R.L.,ISOCARBAMIDE,-
4264,VIC 400 SC,ARYSTA LIFESCIENCE BENELUX SPRL,DODINE,39.4 g
4265,BASF-TMTD,BASF AGRO S.P.A.,THIRAM,49.0 g
4266,ACRIT 2 D,SIAPA S.R.L.,DICLORAN|DODINE,6.0 g|2.0 g
4267,MICRON,SIAPA S.R.L.,SULPHUR (ZOLFO),90.0 g
4268,CRITTOFER,CAFFARO S.P.A.,FERBAM,-
4269,IBERTOX POLVERE SOLUBILE,CAFFARO S.P.A.,DNOC,37.0 g
4270,IBERTOX PASTA,CAFFARO S.P.A.,DNOC,37.0 g
4271,RAMOL,ISAGRO COPPER S.R.L.,COPPER OXYCHLORIDE,21.0 g
4272,ACARTHANE EC,DOW AGROSCIENCES ITALIA S.R.L.,DICOFOL|DINOCAP,18.0 g|7.0 g
4273,BROMOSIL,BROMOSICULA S.A.S.,BROMURO DI METILE,98.0 g
4274,ETIL-MANGAN 80,DOW AGROSCIENCES ITALIA S.R.L.,MANEB,-
4275,ACUPRICO 500,EASTMAN ITALIA S.R.L.,ZIRAM,44.0 g
4276,SUMITHION GRANULARE,AVENTIS CROPSCIENCE ITALIA S.P.A.,FENITROTHION,3.0 g
4277,FITODITH 80,CHIMIBERG S.R.L.,ZINEB,65.0 g
4278,CRITTAM 90,SIAPA S.R.L.,ZIRAM,86.0 g
4279,FITOIL BIANCO,AVENTIS CROPSCIENCE ITALIA S.P.A.,PARAFFIN OIL/(CAS 8012-95-1),-
4280,HERBIDAL 80,AVENTIS CROPSCIENCE ITALIA S.P.A.,"2,4-D",-
4281,LORZENE FLOW,AVENTIS CROPSCIENCE ITALIA S.P.A.,CYHEXATIN,-
4282,UNDENE,BAYER CROPSCIENCE S.R.L.,PROPOXUR,50.0 g
4283,ZOLVIS 90,ARYSTA LIFESCIENCE BENELUX SPRL,SULPHUR (ZOLFO),90.2 g
4284,ENOCOMPLEX,ENOTRIA S.P.A.,CALCIUM COPPER OXYCHLORIDE|ZINEB|SULPHUR (ZOLFO),-
4285,AGRICARB ESCA,CHIMIGROUP S.R.L.,METHIOCARB (AKA MERCAPTODIMETHUR),1.5 g
4286,ZOLVIS 80 COLLOIDALE,ARYSTA LIFESCIENCE BENELUX SPRL,SULPHUR (ZOLFO),80.4 g
4287,PANTOPUR D,NUFARM ITALIA S.R.L.,"2,4-D",61.7 g
4288,PLIDION,CHEMIA S.P.A.,CYHEXATIN|TETRADIFON,12.0 g|7.0 g
4289,IDROSOLFO RAMATO,GOWAN ITALIA S.R.L.,COPPER OXYCHLORIDE|SULPHUR (ZOLFO),5.0 g|28.0 g
4290,DIFORAM,ISAGRO S.P.A.,COPPER OXYCHLORIDE|CAPTAFOL,-
4291,GRANONET,SIPCAM S.P.A.,CHLOROTOLURON,45.0 g
4292,ZOLVIS 80 MICRO,MANICA S.P.A.,SULPHUR (ZOLFO),-
4293,NICOTEB C,SIPCAM S.P.A.,MANEB,6.0 g
4294,GRANONET MP,SIPCAM S.P.A.,MECOPROP|CHLOROTOLURON,30.0 g|30.0 g
4295,EFISAN FP,SYNGENTA ITALIA S.P.A.,FOLPET|COPPER CARBONATE BASIC|COPPER OXYCHLORIDE|COPPER SULFATE,-
4296,CEREALDOR,SOLPLANT S.P.A.,ETHIRIMOL|CAPTAFOL,-
4297,TELONE,DOW AGROSCIENCES ITALIA S.R.L.,"1,3-DICHLOROPROPENE",97.0 g
4298,CHIMICLOR M,CHIMIBERG S.R.L.,ALACLOR,46.0 g
4299,ZINEBIANCO,ISAGRO S.P.A.,ZINEB,66.0 g
4300,ROGOR 50,ISAGRO S.P.A.,DIMETHOATE,-
4301,CUPRAMINA 20,ISAGRO COPPER S.R.L.,COPPER SULFATE,20.0 g
4302,ORTIFLAN,SYNGENTA ITALIA S.P.A.,TRIFLURALIN,42.0 g
4303,KUPFERSOL L,DOW AGROSCIENCES ITALIA S.R.L.,COPPER OXYCHLORIDE,25.0 g
4304,OSSICLORURO DI RAME CREMA 25,AVENTIS CROPSCIENCE ITALIA S.P.A.,COPPER OXYCHLORIDE|PARAFFIN OIL/(CAS 8012-95-1),25.0 g|30.0 g
4305,FUNGON CR,DOW AGROSCIENCES ITALIA S.R.L.,CAPTAN|COPPER OXYCHLORIDE,-
4306,BAZOL C,GUABER S.R.L.,SULPHUR (ZOLFO),80.0 g
4307,CAPTAN 50 W,SOLPLANT S.P.A.,CAPTAN,-
4308,HORTOSAN E 25,DOW AGROSCIENCES ITALIA S.R.L.,NITROFEN,-
4309,CUPROSPOR 50,SIVAM S.P.A.,COPPER OXYCHLORIDE,50.0 g
4310,DD-SOIL FUMIGANT,KANESHO SOIL TREATMENT SPRL/BVBA,"1,3-DICHLOROPROPENE",92.5 g
